id,text
1,ور بی تو بامداد کنم روز محشر است
2,ساقی بیار جامی کز زهد توبه کردم
3,مرا هرآینه خاموش بودن اولی‌تر
4,تو ندانی که چرا در تو کسی خیره بماند
5,کاینان به دل ربودن مردم معینند
6,جان باختن آسان است اندر نظرت لیکن
7,گر خاک پای دوست خداوند شوق را
8,بی تو در دامن گلزار نخفتم یک شب
9,پرده بردار که هوش از تن عاقل برود
10,چرا نه در پی عزم دیار خود باشم
11,که زندگانی او در هلاک بودن اوست
12,که نه هر کو ورقی خواند معانی دانست
13,زلف آشفته و خوی کرده و خندان لب و مست
14,نسیم موی تو پیوند جان آگه ماست
15,من همان روز که روی تو بدیدم گفتم
16,اری اسامر لیلای لیله القمر
17,تو وفا گر کنی و گر نکنی
18,سودا مپز که آتش غم در دل تو نیست
19, سخت زیبا می‌روی یک بارگی
20,اگر چه رسم خوبان تندخوییست
21,کز حدیث من و حسن تو خبر می‌نرود
22,ای پسر جام می‌ام ده که به پیری برسی
23,بیا و گر همه دشنام می‌دهی شاید
24,من ترک وصال تو نگویم
25,نفسی بیا و بنشین سخنی بگوی و بشنو
26,سنگسان شو در قدم نی همچو آب
27,سر تا قدم وجود حافظ
28,گفتم ای غافل نبینی کوه با چندین وقار
29,راه ز پیش و دل ز پس واقعه‌ایست مشکلم
30,من تنک پوست نگفتم تو چنین سخت کمانی
31,غرقه حالی دست و پایی می‌زند
32,که هر که با تو به خلوت بود نه تنهاییست
33,من به خیال زاهدی گوشه‌نشین و طرفه آنک
34,سعدیا تسلیم فرمان شو که نیست
35,زانجا که پرده پوشی عفو کریم توست
36,در انتظار رویت ما و امیدواری
37,با محتسبم عیب مگویید که او نیز
38,جام مینایی می سد ره تنگ دلیست
39,زخم شمشیر غمت را ننهم مرهم کس
40,خطاست این که دل دوستان بیازاری
41,لیکن مجال گفت نباشد تو در سخن
42,کآیینه‌ایست جام جهان بین که آه از او
43,خود نبود و گر بود تا به قیامت آزری
44,دانند که در خرمن من بیشتر افتاد
45,جان از تو عزیزتر نباشد
46,هر دل که ز عشق توست خالی
47,گفت آن روز که این گنبد مینا می‌کرد
48,نزدی شاه رخ و فوت شد امکان حافظ
49,به یاد شخص نزارم که غرق خون دل است
50,بده ساقی می باقی که در جنت نخواهی یافت
51,تا به تماشای باغ میل چرا می‌کند
52,گفتم که نوش لعلت ما را به آرزو کشت
53,هر گلی بلبلی غزل خوان داشت
54,رهروی باید جهان سوزی نه خامی بی‌غمی
55, کس این کند که دل از یار خویش بردارد
56,میان این همه خواهندگان به من چه رسد
57,غرض ز مسجد و میخانه‌ام وصال شماست
58,یا شنیدی که در وجود آمد
59,بگذر از نام و ننگ خود حافظ
60,که همه عمر نه مشتاق لقای تو بود
61,گل ز حد برد تنعم نفسی رخ بنما
62,دیدار تو حل مشکلات است
63,به عشوه هم پیامی بر سر بیمار می‌آورد
64,وه که گر من بازبینم روی یار خویش را
65,وز لوح سینه نقشت هرگز نگشت زایل
66,تیری که زدی بر دلم از غمزه خطا رفت
67,عاقلان نقطه پرگار وجودند ولی
68,سرزنشها گر کند خار مغیلان غم مخور
69,اشتر که اختیارش در دست خود نباشد
70,آن جا که کار صومعه را جلوه می‌دهند
71,مجال من همین باشد که پنهان عشق او ورزم
72,گفته بودم که دل به کس ندهم
73,مگر کسی ز توام مژده‌ای فرازآرد
74, دوش از جناب آصف پیک بشارت آمد
75,نماز شام غریبان چو گریه آغازم
76,خار ار چه جان بکاهد گل عذر آن بخواهد
77,دیدم امروز بر زمین قمری
78,بدان هوس که به مستی ببوسم آن لب لعل
79,کآخر نداند بیش از این یا می‌کشد یا می‌برد
80,از لبش بوسی گدایی می‌کند
81,تو دم فقر ندانی زدن از دست مده
82,چو آتشیت نباشد چگونه برجوشی
83,که قیامت رسد این رشته به هم یا نرسد
84,پیرهن چاک و غزل خوان و صراحی در دست
85,تحمل می‌کنم با زخم چون مرهم نمی‌بینم
86,و از رشک چشم نرگس رعنا به خواب کن
87,سعدی به دام عشق تو در پای بند ماند
88,طاووس عرش می‌شنود صیت شهپرم
89,به جان و سر که نگردانم از وصال تو روی
90,گر تو با ما خوش درآیی ما از آن آسوده‌ایم
91,دوستان را قبای فتح دهیم
92,جامم به دست باشد و زلف نگار هم
93, عهد کردیم که بی دوست به صحرا نرویم
94,چنان ببست که ره نیست زیر دیر مغاک
95,جای تصور نماند دیگرم اندر ضمیر
96,گر می به جان دهندت بستان که پیش دانا
97,در این جهان ز برای دل رهی آورد
98,شکایت پیش از این حالت به نزدیکان و غمخواران
99,آیینه‌ای ندارم از آن آه می‌کشم
100,من درخور تو چه تحفه آرم
101,تا پیشترت بوسه دهم دست و کمان را
102,دلق و سجاده ناموس به میخانه فرست
103,شاخکی تازه برآورد صبا بر لب جوی
104,طالب چشمه خورشید درخشان نشود
105,تو می‌باید که باشی ور نه سهل است
106,انصاف شاه باد در این قصه یاورم
107,دوشم آن سنگ دل پریشان داشت
108,کو راهروی اهل دلی پاک سرشتی
109,گوییا باور نمی‌دارند روز داوری
110,ورم ز دست ملامت به جان بگردانی
111, من چون تو به دلبری ندیدم
112,خوش حلقه‌ایست لیک به در نیست راه از او
113,خلوت گزیده را به تماشا چه حاجت است
114,ای سخت کمان سست پیمان
115,جگر چون نافه‌ام خون گشت کم زینم نمی‌باید
116,کلک تو خوش نویسد در شان یار و اغیار
117,ضرورت است که گوید به سرو ماند راست
118,سایه دولت بر این کنج خراب انداختی
119,اگر آن طایر قدسی ز درم بازآید
120,ترک عاشق کش من مست برون رفت امروز
121,بباختم دل دیوانه و ندانستم
122, مژده وصل تو کو کز سر جان برخیزم
123,نهاده‌ایم مگر او به تیغ بردارد
124,ما سر اینک نهاده‌ایم به طوع
125,همی‌برند به عالم چو نافه ختنی
126,هر چه گفتیم در اوصاف کمالیت او
127,کس ندانم که به جان در طلبش پویان نیست
128, دوست می‌دارم من این نالیدن دلسوز را
129,آن که در دامنش آویخته باشد خاری
130,عاجز بماند در تو زبان فصاحتش
131, آمد گه آن که بوی گلزار
132,به دوستی که غلط می‌برد گمان ای دوست
133,نمی‌دانم رطب را چاشنی چیست
134,هرگزم نقش تو از لوح دل و جان نرود
135,مژدگانی بده ای نفس که سختی بگذشت
136,که نه خاطر تماشا نه هوای باغ دارد
137,تو را خود یک زمان با ما سر صحرا نمی‌باشد
138,یا رب هلاک من مکن الا به دست دوست
139,یا به خضاب و سرمه‌ای یا به عبیر و عنبری
140,دیدار خوبان اختیار از دست دانا می‌برد
141,ابروش کمان قتل عاشق
142,مرا گر دوستی با او به دوزخ می‌برد شاید
143,زمانه از ورق گل مثال روی تو بست
144,مرو به خواب که حافظ به بارگاه قبول
145,در میان پختگان عشق او خامم هنوز
146,پیکی ندوانید و سلامی نفرستاد
147,عبیرآمیز می‌آید شمالش
148,همای اوج سعادت به دام ما افتد
149, ای مرهم ریش و مونس جانم
150,به دست جور و جفا گوشمال داده بسی
151,دلم ز نرگس ساقی امان نخواست به جان
152,غم دل با تو نگویم که ندانی دردم
153,عشقت رسد به فریاد ار خود به سان حافظ
154,که التفات بود بر جهان و بر جانش
155,به گدایی ز در میکده زادی طلبیم
156, گر کسی سرو شنیدست که رفتست اینست
157,از شمع بپرسید که در سوز و گداز است
158,سری دارم مهیا بر کف دست
159,به تیغ می‌زد و می‌رفت و باز می‌نگریست
160,و گر در رنج سعدی راحت توست
161,امشب نظر به روی تو از خواب خوشترست
162,هش دار که گر وسوسه عقل کنی گوش
163,نمودی چند بار از خود که حافظ عهد و پیمانم
164,نسبت دوست به هر بی سر و پا نتوان کرد
165,بر در میکده می کن گذری بهتر از این
166,چندی به پای رفتم و چندی به سر شدم
167,چشم مخمور تو دارد ز دلم قصد جگر
168,هزار بار بگفتم که چشم نگشایم
169,گر مرا عشقت به سختی کشت سهل است این قدر
170,حافظ ار در گوشه محراب می‌نالد رواست
171,نشانی زان پری تا در خیال است
172,در وفای عشق تو مشهور خوبانم چو شمع
173, ای روی ماه منظر تو نوبهار حسن
174,تا چند باشیم از بی نصیبان
175,کجا روم که دلم پای بند مهر کسیست
176,که تا قیامت از این آستان بگردانی
177,چرا که وعده تو کردی و او به جا آورد
178,شکر ایزد که ز تاراج خزان رخنه نیافت
179,غزل گفتی و در سفتی بیا و خوش بخوان حافظ
180,زهی خجالت مردم چرا به سر ندویدم
181,سعدی چو گرفتار شدی تن به قضا ده
182,صبا تو نکهت آن زلف مشک بو داری
183,خدا را ای رقیب امشب زمانی دیده بر هم نه
184,وجود مرده از آن آب جانور می‌گشت
185,دیوانه شده دوان به هر سوی
186,کز وی هزار سوز مرا در جگر فتاد
187,روزی چو پادشاهان خواهم که برنشینی
188,وز جانب او عزیزتر نیست
189,گفتی که چون من در زمی دیگر نباشد آدمی
190, حدیث یا شکرست آن که در دهان داری
191,ز توبه خانه تنهایی آمدم بر بام
192,همه کس را نتوان گفت که بینایی هست
193,بنده وارت به سلام آیم و خدمت بکنم
194,دیدار دوستان که ببینند مرهمست
195,نازنین‌تر ز قدت در چمن ناز نرست
196,ما به یک شربت چنین بیخود شدیم
197,غم دنیای دنی چند خوری باده بخور
198,حافظ ار جان طلبد غمزه مستانه یار
199,گر جان طلبی فدای جانت
200,من دست نخواهم برد الا به سر زلفت
201, درخت دوستی بنشان که کام دل به بار آرد
202,رها کن راه بدعهدی و اندر عهد ایشان آی
203,سرو ندیدم بدین صفت متمایل
204,گوش بر ناله مطرب کن و بلبل بگذار
205,باور از بخت ندارم که تو مهمان منی
206,کیمخت خارپشت ز سنجاب خوشترست
207,هم آتشی زده‌ای تا نفیر می‌آید
208,آرزومند کعبه را شرط است
209,مرا تو بر سر آتش نشانده‌ای عجب آنک
210,عجب می‌دارم از هامون که چون دریا نمی‌باشد
211,زشت نتوان گفت زیبا می‌کند
212,خجسته روز کسی کز درش تو بازآیی
213,رویی نتوان گفت که حسنش به چه ماند
214,ز مروارید گوشم در جهان به
215,دگر ز منزل جانان سفر مکن درویش
216,گیرند مردم دوستان نامهربان و مهربان
217,به بوی او دل بیمار عاشقان چو صبا
218,سرمست بتی لطیف ساده
219,در شب هجران مرا پروانه وصلی فرست
220,ببین که تا به چه حدم همی‌کند تحمیق
221,وین برکشیده گنبد نیلی حصار هم
222,حافظ آن ساعت که این نظم پریشان می‌نوشت
223,از آن طرف نپذیرد کمال او نقصان
224,نه آن چنان به تو مشغولم ای بهشتی رو
225,نه یاری سست پیمان است سعدی
226,تو چنان در دل من رفته که جان در بدنی
227,شب بر آنم که مگر روز نخواهد بودن
228,به کسی نگر که ظلمت بزداید از وجودت
229,زاهد از کوچه رندان به سلامت بگذر
230,چو بت به کعبه نگونسار بر زمین افتد
231,به ضرورت جفای او ببریم
232,نظری به لشکری کن که هزار خون بریزی
233,این یک دو دم که مهلت دیدار ممکن است
234,برسانش ز من ای پیک صبا پیغامی
235,روزی به نماز دیگر آورد
236,می‌ای دارم چو جان صافی و صوفی می‌کند عیبش
237,گر دست رسد در سر زلفین تو بازم
238,که گفته است که صد دل به غمزه‌ای ببری
239,ای خضر حلالت نکنم چشمهٔ حیوان
240,به بال و پر مرو از ره که تیر پرتابی
241,ابروی یار در نظر و خرقه سوخته
242,کنون امید بخشایش همی‌دارم که مسکینم
243,آه من باد به گوش تو رساند هرگز
244,درویش را نباشد برگ سرای سلطان
245,ای دل به کوی عشق گذاری نمی‌کنی
246,کاین همه شور در جهان انداخت
247,حافظ نه حد ماست چنین لاف‌ها زدن
248,چون روی تو دلفریب و دلبند
249,که دیر مست شود هر که می خورد به دوام
250,که سحرگه شکفتنم هوس است
251,وان که این مجلس نجوید زندگی بر وی حرام
252,شادی مجلسیان در قدم و مقدم توست
253,که دل به غمزه خوبان مده که سنگ و سبوست
254,دیدار در حجاب و معانی برابر است
255,چرا و چون نرسد بندگان مخلص را
256,ای برادر که حال ما دگر است
257,دلیل روی تو هم روی توست سعدی را
258,می بهشت ننوشم ز دست ساقی رضوان
259,روشنت گردد این حدیث چو روز
260,چو بر در تو من بینوای بی زر و زور
261,به جان دوست که در اعتقاد سعدی نیست
262,در مذهب طریقت خامی نشان کفر است
263,که نام قند مصری برد آنجا
264,غم و اندیشه در آن دایره هرگز نرود
265,دور فلکی یک سره بر منهج عدل است
266,با طینت اصلی چه کند بدگهر افتاد
267, شب عاشقان بی‌دل چه شبی دراز باشد
268,تا ظن برم که روی تو ماه است یا پری
269,مطربا پرده بگردان و بزن راه عراق
270,از گفته کمال دلیلی بیاورم
271,شکر خدا که هر چه طلب کردم از خدا
272, خوشا دلی که مدام از پی نظر نرود
273,ور به میدان می‌روی از تیرباران برمگرد
274,دست گیر این پنج روزم در حیات
275, رفتی و نمی‌شوی فراموش
276,باشد که غلام خویشتن خوانی
277,دیده به سوی دیگری دارم و دل به سوی او
278,گر چه ماه رمضان است بیاور جامی
279,زلف سنبل به نسیم سحری می‌آشفت
280,گر بهاری باز باشد لیس بعد الورد برد
281,موضع ناز است و غرور ای صنم
282,جفای پرده درانم تفاوتی نکند
283,آفتاب از منظر افتد در رواق
284,تو ز ما فارغ و ما از تو پریشان تا چند
285,من این طمع نکنم کز تو کام برگیرم
286,ساقی بده آن کوزهٔ خمخانه به درویش
287,چشم و ابروی تو زیبا قد و بالای تو خوش
288,رنج‌هایی کشیده‌ام که مپرس
289,تو آهو چشم نگذاری مرا از دست تا آن گه
290,کمند سعدی اگر شیر شرزه صید کند
291,زین بیشتر بباید بر هجرت احتمالی
292,این باد بهار بوستان است
293,گوییا بر من از بهشت خدای
294,نبود چنگ و رباب و نبید و عود که بود
295,امسال کار من بتر از پار بنگرید
296,هر پاره از دل من و از غصه قصه‌ای
297,دگر به گوش فراموش عهد سنگین دل
298,نفسی تزول عاقبة الامر فی الهوی
299,برگ نوا تبه شد و ساز طرب نماند
300,بیا ای دوست ور دشمن ببیند
301,مگر به روی دلارای یار ما ور نی
302,دلبر از ما به صد امید ستد اول دل
303,من اگر هزار خدمت بکنم گناهکارم
304,گر همه عمر نداده‌ست کسی دل به خیال
305,تاب وغا نیاورد قوت هیچ صفدری
306,آواز سؤال حیرت آمد
307,آفت دور سمایی می‌کند
308,چه حاجت است بگوید شکر که شیرینم
309,تو را رسد که غلامان ماه رو داری
310,گفتم ز لعل نوش لبان پیر را چه سود
311,نهادم عقل را ره توشه از می
312,فقیر از رقص در حالت خطیب از می خرابستی
313,در غم افزوده‌ام آنچ از دل و جان کاسته‌ام
314,بیچاره در هلاک تن خویشتن عجول
315,محبت بر محبت می‌فزایی
316,نخوت باد دی و شوکت خار آخر شد
317,چندین که برشمردم از ماجرای عشقت
318,دوش دور از رویت ای جان جانم از غم تاب داشت
319,گنج زر گر نبود کنج قناعت باقیست
320,سر مکش تا نکشد سر به فلک فریادم
321,که دوستی و ارادت هزار چندان است
322,قیاس کن که دلم را چه تیر عشق رسید
323,که رستگاری جاوید در کم آزاریست
324,همای زلف شاهین شهپرت را
325,سر گیسوی تو در هیچ سری نیست که نیست
326,خون شد دل من ندیده کامی
327,خواب می‌گیرد و شهری ز غمت بیدارند
328,برقع فروهلد به جمال آفتاب را
329,سخت کمان چه غم خورد گر تو ضعیف جوشنی
330,غبار خط بپوشانید خورشید رخش یا رب
331,کارم چو زلف یار پریشان و درهمست
332,چون دل ببردی دین مبر هوش از من مسکین مبر
333,به ترکستان رویش خال هندو
334,تا به خلوتگه خورشید رسی چرخ زنان
335,بعد از این خرقه صوفی به گرو نستانند
336,ما و دردی کشان مجلس درد
337,جرم بیگانه نباشد که تو خود صورت خویش
338, نوبهار است در آن کوش که خوشدل باشی
339,با همه پادشهی بنده تورانشاهم
340,صاحب نظران لاف محبت نپسندند
341,به سخن باز نمی‌باشد و چشم از نازش
342,با رستم دستان بزند هر که درافتاد
343,گوش کن پند ای پسر وز بهر دنیا غم مخور
344,باک از جفای دشمن و جور رقیب نیست
345,زان گه که عشق دست تطاول دراز کرد
346,زحمت ببرد ز پیش ایوان
347,کس نداند که نهان می‌سوزم
348,جرمش این بود که اسرار هویدا می‌کرد
349,توبه صوفی به زیان آوری
350,خود را لطافتی و جمالی نیافته
351,به زیر دلق ملمع کمندها دارند
352,و آهنگ بازگشت به راه حجاز کرد
353,در حضرت کریم تمنا چه حاجت است
354,که به یک دل دو دوست نتوان داشت
355,وآن شکن برشکن قبائل زلف
356,که حال ما نه چنین بودی ار چنان بودی
357,هر روزش از گریبان سر برنکرد ماهی
358,بینی که چه گرم آتش در سوخته می‌گیرد
359,گر کند انعام او در من مسکین نگاه
360,خلاص بخش خدایا همه اسیران را
361,بسیار دیده‌ایم درختان میوه‌دار
362,پای ما لنگ است و منزل بس دراز
363,نکته‌ها رفت و شکایت کس نکرد
364,گل عزیز است غنیمت شمریدش صحبت
365,که عاشقان ره بی‌همتان به خود ندهند
366,سعدی اگر خون و مال صرف شود در وصال
367,به عاشقان نظری کن به شکر این نعمت
368,ساقیا برخیز و درده جام را
369,همچنان عذرت بباید خواستن تقصیر را
370,رقیبم سرزنش‌ها کرد کز این باب رخ برتاب
371,سعدیا زنده عارفی باشی
372,مردم بیگانه را خاطر نگه دارند خلق
373,گرم ترانه چنگ صبوح نیست چه باک
374,هر عهد که بستم هوسی بود و هوایی
375,گر نه شیرین نمک پراکندی
376, شادی به روزگار گدایان کوی دوست
377,بند پایی که به دست تو بود تاج سر است
378,بیرون نمی‌توان کرد الا به روزگاران
379,چند پوید به هوای تو ز هر سو حافظ
380,صورتی دارد ولی جانیش نیست
381,کارم ز دست رفت و نیامد به دست یار
382,دیگر چو شب نزدیک شد چون زلف در پا می‌برد
383,روان روشن سعدی که شمع مجلس توست
384,باشد که تفرج بکنم دست و کمانت
385,ز بانگ رود و آوای سرودم
386,اهل دل داند که تا زخمی نخورد آهی نکرد
387,شربتی تلختر از زهر فراقت باید
388,زبان کلک تو حافظ چه شکر آن گوید
389,که ره از صومعه تا دیر مغان این همه نیست
390,که در آن کوی چو من کشته بسی افتاده‌ست
391,نباشد بر سر سرو آفتابی
392,گر به شکار آمده‌ست دولت نخجیر او
393,شاهدان گر دلبری زین سان کنند
394,دوش بی روی تو آتش به سرم بر می‌شد
395,تا به هر غمزه‌ای دلی ببری
396,خار بردارم اگر دست به خرما نرسد
397,ور دوست دست می‌دهدت هیچ گو مباش
398,سخن سعدی بشنو که تو خود زیبایی
399,وقت آن آمد که خوش باشد کنار سبزه جوی
400,که آفت‌هاست در تاخیر و طالب را زیان دارد
401,گر دیگران به منظر زیبا نظر کنند
402,روی و ریای خلق به یک سو نهاده‌ایم
403,نچمی که شاخ طوبی به ستیزه برنریزد
404,که مهرش در میان جان و مهرش بر دهان باشد
405,نقش غلط مبین که همان لوح ساده‌ایم
406, وقت‌ها یک دم برآسودی تنم
407,عهد ما با لب شیرین دهنان بست خدا
408,که خوش است عیش مردم به روایح عبیرم
409,ما خوشه چین خرمن اصحاب دولتیم
410, صبح است ساقیا قدحی پرشراب کن
411,مرا رسد که برآرم هزار ناله چو بلبل
412,اگر نه باده غم دل ز یاد ما ببرد
413,گو غنیمت شمار صحبت ما
414,قبای اطلس آن کس که از هنر عاریست
415,مگسی کجا تواند که بیفکند عقابی
416,رندی و هوسناکی در عهد شباب اولی
417,بیا بیا که غلام توام بیا ای دوست
418,زمین به اختر میمون و طالع مسعود
419,کمال سر محبت ببین نه نقص گناه
420,کاین پای لایقست که بر چشم ما رود
421,که بر وی این همه باران شوق می‌بارم
422,فردا که شوم خاک چه سود اشک ندامت
423,ای گوی حسن برده ز خوبان روزگار
424,آن که بی جرم برنجید و به تیغم زد و رفت
425,چون به خلوت می‌روند آن کار دیگر می‌کنند
426,زین معما هیچ دانا در جهان آگاه نیست
427,سعدی از سرزنش خلق نترسد هیهات
428,بازآید و برهاندم از بند ملامت
429,بیار ای لعبت ساقی بگو ای کودک مطرب
430,هر چه زان تلخ‌تر بخواهی گفت
431,نخفته‌ام ز خیالی که می‌پزد دل من
432,خرقه زهد مرا آب خرابات ببرد
433,ندای عشق تو دیشب در اندرون دادند
434,آن عشوه داد عشق که مفتی ز ره برفت
435,ماجرای عشق از اول تا به پایان گفته‌اند
436,گر قلب دلم را ننهد دوست عیاری
437,ما با توایم و با تو نه‌ایم اینت بلعجب
438,لعلست یا لبانت قندست یا دهانت
439,پای سرو بوستانی در گل است
440,نور ز خورشید جوی بو که برآید
441,لطیف جوهر و جانی غریب قامت و شکلی
442,ستاره‌ای بدرخشید و ماه مجلس شد
443,جلوه بخت تو دل می‌برد از شاه و گدا
444,چو عقرب دشمنان داری و من با تو چو میزانم
445, قتل این خسته به شمشیر تو تقدیر نبود
446,بهشتی صورتی در جوف محمل
447,کس رد نتواند کرد آن را که تو بگزینی
448,فتاد و چون من سودازده به سر می‌گشت
449,دل خود دریغ نیست که از دست من برفت
450,پروانه راحت بده ای شمع که امشب
451,جز عهد و وفای تو که محلول نگردد
452,دیده نگه داشتیم تا نرود دل
453,سر درس عشق دارد دل دردمند حافظ
454,برو ای سپر ز پیشم که به جان رسید پیکان
455,یک بارگی جدا ز کلاه و کمر فتاد
456,اگر تسبیح می‌فرمود اگر زنار می‌آورد
457,مغبچه‌ای می‌گذشت راهزن دین و دل
458,مگر کسی که بود در طبیعتش مجبول
459, به خاک پای عزیزت که عهد نشکستم
460,به سمع مردم هشیار در نمی‌گنجد
461,جوهری عقل در بازار حسن
462,سرابستان در این موسم چه بندی
463,بگذار مشک و بوی سر زلف او بیار
464,به تیغ مرگ شود دست من رها ای دوست
465,محراب و کمانچه ز دو ابروی تو سازم
466,گر سر برود در سر سودای ایازم
467, بیا که رایت منصور پادشاه رسید
468,انتبه قبل السحر یا ذالمنام
469,خور ز حکم تو سر نمی‌تابد
470,به صدر مصطبه بنشین و ساغر می‌نوش
471,در راه جام و ساقی مه رو نهاده‌ایم
472,خصم را پای گریز از سر میدان تو نیست
473,چو مستان جامه را بدرید بر تن
474,چون خاک شوم باد به گوشت برساند
475,ما تماشاکنان کوته دست
476,چنانم در دلی حاضر که جان در جسم و خون در رگ
477,ذکر سودای زلیخا پیش یوسف کرده‌اند
478,داعی دولت به هر مقام که هستیم
479,قدر تو نداند آن کز زجر تو بگریزد
480,ز کار و بار جهان گر شهیست عار آید
481,به شکرخنده لبت گفت مزادی طلبیم
482,دل بر نمک لبت کبابی
483,نیک نکردی که نکردی وفا
484,صبا گر چاره داری وقت وقت است
485,که ناز بر فلک و حکم بر ستاره کنم
486,محرم راز دل شیدای خود
487,نخل تناور کند ز دانه خرما
488,چون دوست گرفتی چه غم از دشمن خونخوار؟
489,رضا به حکم قضا اختیار کن سعدی
490,آن که هرگز بر آستانه عشق
491,صد پیرهن قبا کنم از خرمی اگر
492,گفتم نهایتی بود این درد عشق را
493,نیاید هیچ در چشمش به جز خاک سر کویت
494,که گرد بیهده کم گرد و بیشتر می‌گشت
495,هیچ است آن دهان و نبینم از او نشان
496,نماز شام به بام ار کسی نگاه کند
497,بی ماه مهرافروز خود تا بگذرانم روز خود
498,مکن که دست برآرم به ربنا ای دوست
499,در ازل داده‌ست ما را ساقی لعل لبت
500,مردم از قاتل عمدا بگریزند به جان
501,اگر چه موی میانت به چون منی نرسد
502,تشنه لب کردی و گردان را در آب انداختی
503,که روی چون قمرت شمسه‌ایست پرگاری
504,فالی به چشم و گوش در این باب می‌زدم
505,چون نیک بدیدم به حقیقت به از آنی
506,خال سرسبز تو خوش دانه عیشیست ولی
507,سعدی اگر زخم خوری غم مخور
508,بهشت روی من آن لعبت پری رخسار
509,قدمی که برگرفتی به وفا و عهد یاران
510,که کند حافظ از او دیده دل نورانی
511,چه خون که در دلم افتاد همچو جام و نشد
512,صاد قلبی ما تمشی زاد وجدی ما عبر
513,پندارم آن که با تو ندارد تعلقی
514,که من دلشده این ره نه به خود می‌پویم
515,اگر تو بر دل آشفتگان ببخشایی
516,آن چنان وهم در تو حیران است
517,که زهر از کف دست او نوش بود
518,اگر عداوت و جنگ است در میان عرب
519,نزدیک من آن است که هر جرم و خطایی
520,چند شاید به صبر پنهان داشت
521,چنین که از همه سو دام راه می‌بینم
522,تو را که هر خم مویی کمند داناییست
523,این چنین با همه درساخته‌ای یعنی چه
524,سوگند به جانت ار فروشم
525,وین بوالعجبی و چشم بندی
526,ای بادیه هجران تا عشق حرم باشد
527,باشد کز آن میانه یکی کارگر شود
528,آفتابیست که در پیش سحابی دارد
529,در روی زمین دگر نباشد
530,ندیده‌ام مگر این شیوه از پری آموخت
531,کس ندانم که در این شهر گرفتار تو نیست
532,شدم به رغبت خویشش کمین غلام و نشد
533, بی‌دل گمان مبر که نصیحت کند قبول
534,صورت خوب آفرید و سیرت زیبا
535,طوعا و کرها بنده‌ام ناچار فرمان می‌برم
536,من سالخورده پیر خرابات پرورم
537,که می‌برد به افق پرچم سپاه ظلام
538,که بر مجنون رود لیلی طویلست
539,یا جام باده یا قصه کوتاه
540,آدم صفت از روضه رضوان به درآیی
541,هیهات از این خیال محالت که در سر است
